SchemaName,TableName,SourceNotNULLCount,TargetNotNULLCount
ListingCube,tblListingMonthlySnapshotFact,5,5
ListingCube,tblListingNoOfBathroomsDim,2,2
ListingCube,tblListingNoOfBedroomsDim,2,2
ListingCube,tblListingNoOfStoriesDim,2,2
ListingCube,tblListingPriceDiffRangeDim,6,6
ListingCube,tblListingPricePerSqFtRangeDim,6,6
ListingCube,tblListingPriceRangeDim,4,4
ListingCube,tblListingRawStatusDim,1,1
ListingCube,tblListingRentalPriceRangeDim,3,3
ListingCube,tblListingStatusDim,2,2
ListingCube,tblListingTypeDim,2,2
ListingCube,tblListingWeeklyAggregatebyCBSA,0,0
ListingCube,tblListingWeeklyAggregatebyCountry,0,0
ListingCube,tblListingWeeklyAggregatebyCounty,0,0
ListingCube,tblListingWeeklyAggregatebyState,0,0
ListingCube,tblListingWeeklyAggregatebyZip,0,0
ListingCube,tblListingWeeklySnapshotFact,5,5
ListingCube,tblLotSqFtRangeDim,3,3
ListingCube,tblMonthDim,7,7
ListingCube,tblNeighborhoodDim,1,1
ListingCube,tblNHBuilderDim,4,4
ListingCube,tblNHCommunityStatusdim,2,2
ListingCube,tblNHCommunityStyleDim,2,2
ListingCube,tblNHInventorymonthlySnapshotFact,19,19
ListingCube,tblNHInventoryWeeklySnapshotFact,19,19
ListingCube,tblNHNoOfGarageDim,2,2
ListingCube,tblNHPlanMonthlySnapshotFact,25,25
ListingCube,tblNHPlanTypeDim,2,2
ListingCube,tblNHPlanWeeklySnapshotFact,25,25
ListingCube,tblNHPropertyStatusDim,2,2
ListingCube,tblSearchMonthListingFact,1,1
ListingCube,tblSearchWeekListingFact,1,1
ListingCube,tblWeekDim,4,4
Marketing,tblEmailAccountDim,1,1
Marketing,tblEmailCampaignDim,1,1
Marketing,tblEmailEventTypeDim,1,1
Marketing,tblEmailMarketingFact,9,9
Marketing,tblEmailMarketingWeekDim,5,5
Marketing,tblEmailMeasurementDim,1,1
Marketing,tblEmailOfferNameDim,1,1
Marketing,tblEmailReasonDim,1,1
Marketing,tblEmailRIIDDim,1,1
Marketing,tblEmailUniqueCountFact,4,4
Marketing,tblEmailVendorDim,1,1
Marketing,tblSendgridEmailMarketingFact_Monthly,1,1
MMSearchDM,tblCreditScoreBucketDim,5,5
MMSearchDM,tblEligibilityTypeDim,3,3
MMSearchDM,tblGeoSearchCriteriaDim,1,1
MMSearchDM,tblIncomeBucketDim,5,5
MMSearchDM,tblInvestorDim,4,4
MMSearchDM,tblLoanProductDim,8,8
MMSearchDM,tblLoanProgramDim,6,6
MMSearchDM,tblLoanPurposeSearchTypeDim,1,1
MMSearchDM,tblPathDim,1,1
MMSearchDM,tblPurchaseCostsBucketDim,5,5
MMSearchDM,tblSearchCriteriaDim,2,2
MMSearchDM,tblSearchCriteriaFact,14,14
MMSearchDM,tblSearchResultsFact,26,26
MMSearchDM,tblSessionDim,2,2
MMSearchDM,tblVisitorDim,2,2
MSTRRpt,Dates,2,2
MSTRRpt,DatesLastYear,2,2
MSTRRpt,ListingCounts,1,1
MSTRRpt,MedianPrice_Current,1,1
MSTRRpt,MedianPrice_LastYear,1,1
MSTRRpt,MLS_LDP,1,1
MSTRRpt,MLS_Listing_Price_LastYear,2,2
MSTRRpt,MLS_Listing_Price_Prod,2,2
MSTRRpt,MLS_SRP,2,2
MSTRRpt,tblCoBrokeLeadProjection,16,16
OrderDM,tblBillingInformationDim,7,7
OrderDM,tblMarketDim,9,8
OrderDM,tblOrderJunkDim,4,4
OrderDM,tblOrderOriginationChannelDim,3,3
OrderDM,tblOrderOriginationTransactionalFact,27,27
OrderDM,tblOrderStatusDim,3,3
OrderDM,tblSalesAgentContactDim,11,11
OrderDM,tblSalesAgentDim,21,20
OSL,tblAdvertiserProductBridge_UHURA,0,0
OSL,tblAgent_uhura,0,0
OSL,tblLead_uhura,0,0
OSL,tbllistingFact_UHURA,0,0
OSL,tbllistingProductBridge_UHURA,1,1
OSL,tbllisting_UHURA,0,0
